agent,seed,reward,distance,radius,success
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,1,-30.84689360141754,-0.14571671113371848,0.15,0.17
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,2,-27.658762125968934,-0.1400279738008976,0.15,0.28
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,3,-28.43227951526642,-0.14660243541002274,0.15,0.27
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,4,-29.621454782485962,-0.15093737050890924,0.15,0.22
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,5,-30.333933386802673,-0.14766449369490148,0.15,0.19
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,6,-27.501606225967407,-0.1386628907173872,0.15,0.29
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,7,-29.070013418197632,-0.14135064534842967,0.15,0.23
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,8,-29.39927785873413,-0.1436189939826727,0.15,0.23
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,9,-28.277545285224914,-0.14083406023681164,0.15,0.26
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,10,-28.609957995414735,-0.14146202765405178,0.15,0.25
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,11,-30.38573698043823,-0.14465156555175782,0.15,0.19
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,12,-31.52049023628235,-0.14733899071812628,0.15,0.16
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,13,-28.18386104106903,-0.1450907902419567,0.15,0.27
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,14,-31.68607873916626,-0.1547716161608696,0.15,0.16
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,15,-31.534993257522583,-0.14935355320572852,0.15,0.16
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,16,-31.411100149154663,-0.15251260705292224,0.15,0.16
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,17,-28.482564182281493,-0.13667265325784683,0.15,0.25
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,18,-32.44951333522797,-0.15829164713621138,0.15,0.14
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,19,-31.23539649963379,-0.14481636039912701,0.15,0.16
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,20,-29.934280314445495,-0.14276075027883053,0.15,0.2
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,21,-29.643791561126708,-0.1401116470247507,0.15,0.21
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,22,-30.684090394973754,-0.1433959597349167,0.15,0.17
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,23,-28.644794921875,-0.14411390334367752,0.15,0.25
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,24,-29.961625576019287,-0.13940631411969662,0.15,0.2
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,25,-32.06479148864746,-0.1505061773210764,0.15,0.14
