agent,seed,reward,distance,radius,success
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,1,-24.94515155315399,-0.17225798182189464,0.15,0.38
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,2,-24.426652336120604,-0.1616381073743105,0.15,0.38
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,3,-26.717350277900696,-0.18912567399442196,0.15,0.33
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,4,-23.265151028633117,-0.15889010339975357,0.15,0.41
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,5,-26.166759190559386,-0.18126314118504525,0.15,0.36
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,6,-24.51160886287689,-0.16571755029261112,0.15,0.39
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,7,-22.38860399246216,-0.15929472990334034,0.15,0.45
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,8,-25.50267882823944,-0.17013325326144696,0.15,0.34
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,9,-24.849763374328614,-0.17950091645121574,0.15,0.38
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,10,-27.18892946243286,-0.17878773249685764,0.15,0.29
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,11,-26.469510927200318,-0.17068477757275105,0.15,0.32
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,12,-23.732948241233824,-0.16283153273165227,0.15,0.41
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,13,-26.68087969303131,-0.17027374252676963,0.15,0.31
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,14,-26.669856672286986,-0.17294101275503634,0.15,0.31
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,15,-22.346548981666565,-0.15607044465839862,0.15,0.46
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,16,-24.635094738006593,-0.16823659293353557,0.15,0.38
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,17,-28.430552949905394,-0.17874309726059437,0.15,0.25
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,18,-26.516135182380676,-0.17584054455161094,0.15,0.33
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,19,-25.05492299556732,-0.16836697168648243,0.15,0.38
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,20,-24.113956875801087,-0.16104258343577385,0.15,0.41
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,21,-25.237091102600097,-0.16803008779883385,0.15,0.36
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,22,-25.859598264694213,-0.16924791499972344,0.15,0.32
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,23,-27.237699613571166,-0.18392544873058797,0.15,0.31
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,24,-24.795421204566956,-0.168658749461174,0.15,0.36
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,25,-25.618698868751526,-0.17047466419637203,0.15,0.33
