agent,seed,reward,distance,radius,success
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,1,-26.348888568878174,-0.16250547625124453,0.15,0.37
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,2,-26.448970680236815,-0.17112575933337212,0.15,0.36
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,3,-27.184146642684937,-0.1722486513108015,0.15,0.34
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,4,-22.83230905056,-0.13905521959066391,0.15,0.47
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,5,-25.375171189308166,-0.15434756346046924,0.15,0.38
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,6,-26.455031700134278,-0.1689453172683716,0.15,0.36
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,7,-25.09921829223633,-0.1589749574661255,0.15,0.4
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,8,-26.01553593635559,-0.16069398812949656,0.15,0.37
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,9,-27.80891595363617,-0.17370696291327475,0.15,0.31
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,10,-27.617745814323424,-0.16268564537167549,0.15,0.32
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,11,-26.575484027862547,-0.16065441094338895,0.15,0.36
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,12,-27.874881415367128,-0.16608472734689714,0.15,0.32
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,13,-26.57640525817871,-0.1665628145635128,0.15,0.37
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,14,-27.1586372089386,-0.167948065623641,0.15,0.35
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,15,-25.905356187820434,-0.16004247806966304,0.15,0.36
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,16,-27.155803332328798,-0.15358404792845248,0.15,0.3
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,17,-26.638137855529784,-0.15662112079560755,0.15,0.34
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,18,-25.836163139343263,-0.16443521238863468,0.15,0.38
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,19,-24.33514127254486,-0.14912839397788047,0.15,0.44
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,20,-27.386986198425294,-0.16551339954137803,0.15,0.33
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,21,-28.522252955436706,-0.1740552893280983,0.15,0.3
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,22,-26.14100158691406,-0.1592597110569477,0.15,0.37
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,23,-27.12346616268158,-0.16311973251402379,0.15,0.35
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,24,-25.735017652511598,-0.15007624067366124,0.15,0.38
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,25,-26.41903949737549,-0.15555757872760295,0.15,0.35
