agent,seed,reward,distance,wall,success
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,1,-8.94593620300293,-0.09108970612287522,False,1.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,2,-8.970351028442384,-0.09506157785654068,False,1.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,3,-8.910901069641113,-0.09229345768690109,False,1.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,5,-8.940999603271484,-0.09104390442371368,False,1.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,6,-8.97849178314209,-0.09121235758066178,False,1.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,7,-8.926194190979004,-0.08974820077419281,False,1.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,8,-8.96262722015381,-0.08903028219938278,False,1.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,9,-12.96526279449463,-0.09838542491197586,False,0.8
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,10,-8.935964012145996,-0.09426822513341904,False,1.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,12,-8.885549354553223,-0.0935798555612564,False,1.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,13,-8.90992546081543,-0.09203287065029145,False,1.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,14,-8.903492164611816,-0.0881085604429245,False,1.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,15,-8.948559761047363,-0.08936240077018738,False,1.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,16,-8.903219223022461,-0.0895123690366745,False,1.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,17,-8.868744659423829,-0.09190312772989273,False,1.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,18,-8.96151351928711,-0.08998357653617858,False,1.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,19,-8.935239601135255,-0.09452044516801834,False,1.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,20,-9.040715789794922,-0.08646263629198074,False,1.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,1,-45.036536407470706,-0.2826906681060791,True,0.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,2,-46.00954055786133,-0.288276332616806,True,0.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,3,-46.673621368408206,-0.2879252552986145,True,0.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,5,-45.71820983886719,-0.2802221268415451,True,0.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,6,-45.562034606933594,-0.2890580117702484,True,0.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,7,-44.29607162475586,-0.257607963681221,True,0.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,8,-44.58968887329102,-0.2716088265180588,True,0.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,9,-45.86820983886719,-0.28811551332473756,True,0.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,10,-46.651573944091794,-0.27668569087982176,True,0.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,12,-46.80772323608399,-0.28588792085647585,True,0.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,13,-46.2606086730957,-0.28486815094947815,True,0.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,14,-45.11455078125,-0.28496512174606325,True,0.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,15,-44.89265670776367,-0.2873302161693573,True,0.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,16,-46.14758834838867,-0.27285862267017363,True,0.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,17,-45.37266235351562,-0.28739709258079527,True,0.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,18,-44.5840347290039,-0.2744210213422775,True,0.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,19,-46.478398132324216,-0.28677716851234436,True,0.0
CustomPusher-v1__6__alpha_0.0_beta_0.0_starting_beta_0.0,20,-45.81479339599609,-0.28336631059646605,True,0.0
