agent,seed,reward,distance,wall,success
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,1,-8.273134803771972,-0.0992045283317566,False,1.0
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,2,-18.57030506134033,-0.10950247049331666,False,0.6
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,3,-8.309669303894044,-0.09862851649522782,False,1.0
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,5,-12.138322830200195,-0.10730796754360199,False,0.8
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,6,-12.671920204162598,-0.11950597912073135,False,0.8
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,7,-8.271466064453126,-0.09750155508518218,False,1.0
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,8,-11.710740852355958,-0.10296437591314316,False,0.8
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,9,-15.565190696716309,-0.10550700426101685,False,0.6
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,10,-8.214009666442871,-0.09808545857667923,False,1.0
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,12,-8.256213569641114,-0.09802423119544983,False,1.0
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,13,-8.339091682434082,-0.09807439148426056,False,1.0
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,14,-10.46215877532959,-0.09794513285160064,False,1.0
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,15,-8.276012420654297,-0.09777645170688629,False,1.0
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,16,-8.301080131530762,-0.09668848514556885,False,1.0
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,17,-8.275009918212891,-0.09721468836069107,False,1.0
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,18,-11.974803733825684,-0.10583588182926178,False,0.8
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,19,-9.964786338806153,-0.09676198661327362,False,1.0
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,20,-10.641504096984864,-0.09818070977926255,False,1.0
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,1,-38.09504776000976,-0.2881637930870056,True,0.0
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,2,-38.59794464111328,-0.2941283226013184,True,0.0
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,3,-41.420214080810545,-0.2942542552947998,True,0.0
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,5,-39.1152458190918,-0.2913071632385254,True,0.0
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,6,-38.66301040649414,-0.2933602809906006,True,0.0
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,7,-37.98600769042969,-0.2826518416404724,True,0.0
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,8,-38.16747970581055,-0.2919614017009735,True,0.0
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,9,-37.038438415527345,-0.2813155949115753,True,0.0
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,10,-36.71413345336914,-0.2824109673500061,True,0.0
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,12,-37.79135284423828,-0.28061103224754336,True,0.0
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,13,-38.95171432495117,-0.2946467399597168,True,0.0
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,14,-37.27659378051758,-0.2814836144447327,True,0.0
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,15,-37.00377502441406,-0.2789477825164795,True,0.0
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,16,-37.74085311889648,-0.28103758692741393,True,0.0
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,17,-36.70564346313476,-0.28229362368583677,True,0.0
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,18,-37.898519897460936,-0.2927694618701935,True,0.0
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,19,-43.24033203125,-0.2943447768688202,True,0.0
CustomPusher-v1__6__alpha_0.01_beta_0.0_starting_beta_0.0,20,-38.379397583007815,-0.2831559062004089,True,0.0
