agent,seed,reward,distance,wall,success
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,1,-14.918188285827636,-0.12645343244075774,False,0.8
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,2,-16.84669075012207,-0.1874322548508644,False,0.8
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,3,-19.39977397918701,-0.14512522667646408,False,0.6
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,5,-8.662492942810058,-0.09290243834257125,False,1.0
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,6,-9.877386283874511,-0.08890867680311203,False,1.0
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,7,-13.731864261627198,-0.10489956736564636,False,0.8
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,8,-8.588702774047851,-0.09208091646432877,False,1.0
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,9,-14.494838047027589,-0.11576263457536698,False,0.8
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,10,-8.753347206115723,-0.08972487598657608,False,1.0
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,12,-21.12401428222656,-0.15737042725086212,False,0.6
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,13,-21.662378120422364,-0.11434209644794464,False,0.4
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,14,-13.0943172454834,-0.10998617112636566,False,0.8
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,15,-15.545082473754883,-0.14633574187755585,False,0.8
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,16,-8.272393798828125,-0.0953204944729805,False,1.0
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,17,-8.410470104217529,-0.09256633967161179,False,1.0
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,18,-9.201830673217774,-0.09524314999580383,False,1.0
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,19,-23.725394630432127,-0.2273701921105385,False,0.6
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,20,-19.25117607116699,-0.11826451867818832,False,0.6
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,1,-44.44950790405274,-0.26931928396224974,True,0.0
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,2,-45.4741325378418,-0.28595409393310545,True,0.0
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,3,-45.82922515869141,-0.2855499356985092,True,0.0
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,5,-40.28183364868164,-0.2240826666355133,True,0.0
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,6,-37.619495964050294,-0.2506228372454643,True,0.2
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,7,-43.7713623046875,-0.2734452784061432,True,0.0
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,8,-38.84250011444092,-0.23373933136463165,True,0.2
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,9,-43.92623062133789,-0.24607555866241454,True,0.0
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,10,-43.95236663818359,-0.24441718757152558,True,0.0
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,12,-43.63327407836914,-0.26206582486629487,True,0.0
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,13,-43.82029342651367,-0.2515986949205399,True,0.0
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,14,-39.482618522644046,-0.2589583069086075,True,0.2
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,15,-47.04436111450195,-0.31947738528251646,True,0.0
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,16,-44.75890579223633,-0.26560184359550476,True,0.0
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,17,-45.97476348876953,-0.24078747928142546,True,0.0
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,18,-41.990779876708984,-0.21787936687469484,True,0.0
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,19,-35.877474784851074,-0.24048504680395127,True,0.2
CustomPusher-v1__6__alpha_0.01_beta_160.0_starting_beta_800.0,20,-42.286828231811526,-0.33133054822683333,True,0.2
